rs,minx,miny,maxx,maxy,bbox_wkt
010010000000,9.35,54.74,9.52,54.85,"POLYGON((9.35 54.74,9.35 54.85,9.52 54.85,9.52 54.74,9.35 54.74))"
010020000000,10.02,54.24,10.23,54.44,"POLYGON((10.02 54.24,10.02 54.44,10.23 54.44,10.23 54.24,10.02 54.24))"
010030000000,10.54,53.76,10.98,54,"POLYGON((10.54 53.76,10.54 54,10.98 54,10.98 53.76,10.54 53.76))"
010040000000,9.92,54.01,10.07,54.16,"POLYGON((9.92 54.01,9.92 54.16,10.07 54.16,10.07 54.01,9.92 54.01))"
010510011011,9.01,53.87,9.22,53.96,"POLYGON((9.01 53.87,9.01 53.96,9.22 53.96,9.22 53.87,9.01 53.87))"
010510044044,9.04,54.15,9.22,54.23,"POLYGON((9.04 54.15,9.04 54.23,9.22 54.23,9.22 54.15,9.04 54.15))"
010515163003,9.15,53.91,9.24,53.97,"POLYGON((9.15 53.91,9.15 53.97,9.24 53.97,9.24 53.91,9.15 53.91))"
010515163010,9.2,53.99,9.29,54.03,"POLYGON((9.2 53.99,9.2 54.03,9.29 54.03,9.29 53.99,9.2 53.99))"
010515163012,9.17,53.94,9.27,54.01,"POLYGON((9.17 53.94,9.17 54.01,9.27 54.01,9.27 53.94,9.17 53.94))"
010515163016,9.23,53.96,9.31,54.02,"POLYGON((9.23 53.96,9.23 54.02,9.31 54.02,9.31 53.96,9.23 53.96))"
010515163022,9.07,53.93,9.18,53.99,"POLYGON((9.07 53.93,9.07 53.99,9.18 53.99,9.18 53.93,9.07 53.93))"
010515163024,9.09,53.92,9.2,53.98,"POLYGON((9.09 53.92,9.09 53.98,9.2 53.98,9.2 53.92,9.09 53.92))"
010515163026,9.22,54.02,9.3,54.09,"POLYGON((9.22 54.02,9.22 54.09,9.3 54.09,9.3 54.02,9.22 54.02))"
010515163032,9.14,54,9.21,54.07,"POLYGON((9.14 54,9.14 54.07,9.21 54.07,9.21 54,9.14 54))"
010515163037,9.19,54,9.29,54.05,"POLYGON((9.19 54,9.19 54.05,9.29 54.05,9.29 54,9.19 54))"
010515163051,9.26,53.99,9.32,54.05,"POLYGON((9.26 53.99,9.26 54.05,9.32 54.05,9.32 53.99,9.26 53.99))"
010515163064,9.15,53.93,9.25,54,"POLYGON((9.15 53.93,9.15 54,9.25 54,9.25 53.93,9.15 53.93))"
010515163089,9.15,53.97,9.23,54.03,"POLYGON((9.15 53.97,9.15 54.03,9.23 54.03,9.23 53.97,9.15 53.97))"
010515163097,9.07,53.95,9.18,54.03,"POLYGON((9.07 53.95,9.07 54.03,9.18 54.03,9.18 53.95,9.07 53.95))"
010515163110,9.15,54.02,9.26,54.09,"POLYGON((9.15 54.02,9.15 54.09,9.26 54.09,9.26 54.02,9.15 54.02))"
010515166021,8.99,53.91,9.07,53.97,"POLYGON((8.99 53.91,8.99 53.97,9.07 53.97,9.07 53.91,8.99 53.91))"
010515166034,8.67,53.94,8.99,54.08,"POLYGON((8.67 53.94,8.67 54.08,8.99 54.08,8.99 53.94,8.67 53.94))"
010515166046,8.98,53.95,9.07,54,"POLYGON((8.98 53.95,8.98 54,9.07 54,9.07 53.95,8.98 53.95))"
010515166057,8.88,53.9,8.98,53.97,"POLYGON((8.88 53.9,8.88 53.97,8.98 53.97,8.98 53.9,8.88 53.9))"
010515166062,8.93,53.91,9.02,54.05,"POLYGON((8.93 53.91,8.93 54.05,9.02 54.05,9.02 53.91,8.93 53.91))"
010515166072,8.98,53.93,9.06,53.97,"POLYGON((8.98 53.93,8.98 53.97,9.06 53.97,9.06 53.93,8.98 53.93))"
010515166073,8.97,53.93,9.01,53.97,"POLYGON((8.97 53.93,8.97 53.97,9.01 53.97,9.01 53.93,8.97 53.93))"
010515166076,8.97,53.9,9.09,53.96,"POLYGON((8.97 53.9,8.97 53.96,9.09 53.96,9.09 53.9,8.97 53.9))"
010515166077,8.93,53.88,9.03,53.93,"POLYGON((8.93 53.88,8.93 53.93,9.03 53.93,9.03 53.88,8.93 53.88))"
010515166090,9.05,53.92,9.12,53.96,"POLYGON((9.05 53.92,9.05 53.96,9.12 53.96,9.12 53.92,9.05 53.92))"
010515166103,9,53.9,9.08,53.96,"POLYGON((9 53.9,9 53.96,9.08 53.96,9.08 53.9,9 53.9))"
010515166118,8.98,53.98,9.06,54.03,"POLYGON((8.98 53.98,8.98 54.03,9.06 54.03,9.06 53.98,8.98 53.98))"
010515166119,9.03,53.94,9.13,54.01,"POLYGON((9.03 53.94,9.03 54.01,9.13 54.01,9.13 53.94,9.03 53.94))"
010515169005,9.15,54.2,9.21,54.25,"POLYGON((9.15 54.2,9.15 54.25,9.21 54.25,9.21 54.2,9.15 54.2))"
010515169008,9.18,54.3,9.24,54.34,"POLYGON((9.18 54.3,9.18 54.34,9.24 54.34,9.24 54.3,9.18 54.3))"
010515169019,9.33,54.21,9.45,54.28,"POLYGON((9.33 54.21,9.33 54.28,9.45 54.28,9.45 54.21,9.33 54.21))"
010515169020,9.21,54.27,9.29,54.36,"POLYGON((9.21 54.27,9.21 54.36,9.29 54.36,9.29 54.27,9.21 54.27))"
010515169023,9.28,54.23,9.36,54.29,"POLYGON((9.28 54.23,9.28 54.29,9.36 54.29,9.36 54.23,9.28 54.23))"
010515169030,9.07,54.25,9.17,54.31,"POLYGON((9.07 54.25,9.07 54.31,9.17 54.31,9.17 54.25,9.07 54.25))"
010515169035,9.18,54.17,9.25,54.23,"POLYGON((9.18 54.17,9.18 54.23,9.25 54.23,9.25 54.17,9.18 54.17))"
010515169036,9.19,54.25,9.26,54.29,"POLYGON((9.19 54.25,9.19 54.29,9.26 54.29,9.26 54.25,9.19 54.25))"
010515169038,8.97,54.28,9.03,54.35,"POLYGON((8.97 54.28,8.97 54.35,9.03 54.35,9.03 54.28,8.97 54.28))"
010515169047,8.94,54.24,9.06,54.31,"POLYGON((8.94 54.24,8.94 54.31,9.06 54.31,9.06 54.24,8.94 54.24))"
010515169049,9.13,54.26,9.22,54.35,"POLYGON((9.13 54.26,9.13 54.35,9.22 54.35,9.22 54.26,9.13 54.26))"
010515169052,9.27,54.22,9.32,54.26,"POLYGON((9.27 54.22,9.27 54.26,9.32 54.26,9.32 54.22,9.27 54.22))"
010515169053,9.19,54.27,9.26,54.34,"POLYGON((9.19 54.27,9.19 54.34,9.26 54.34,9.26 54.27,9.19 54.27))"
010515169058,8.9,54.25,9,54.33,"POLYGON((8.9 54.25,8.9 54.33,9 54.33,9 54.25,8.9 54.25))"
010515169060,9.1,54.28,9.16,54.36,"POLYGON((9.1 54.28,9.1 54.36,9.16 54.36,9.16 54.28,9.1 54.28))"
010515169061,9,54.3,9.08,54.34,"POLYGON((9 54.3,9 54.34,9.08 54.34,9.08 54.3,9 54.3))"
010515169065,8.97,54.32,9.08,54.39,"POLYGON((8.97 54.32,8.97 54.39,9.08 54.39,9.08 54.32,8.97 54.32))"
010515169068,9.15,54.22,9.24,54.28,"POLYGON((9.15 54.22,9.15 54.28,9.24 54.28,9.24 54.22,9.15 54.22))"
010515169071,9,54.31,9.07,54.35,"POLYGON((9 54.31,9 54.35,9.07 54.35,9.07 54.31,9 54.31))"
010515169080,9.1,54.23,9.18,54.27,"POLYGON((9.1 54.23,9.1 54.27,9.18 54.27,9.18 54.23,9.1 54.23))"
010515169088,9.24,54.24,9.35,54.3,"POLYGON((9.24 54.24,9.24 54.3,9.35 54.3,9.35 54.24,9.24 54.24))"
010515169092,9,54.26,9.1,54.32,"POLYGON((9 54.26,9 54.32,9.1 54.32,9.1 54.26,9 54.26))"
010515169096,9.03,54.31,9.13,54.38,"POLYGON((9.03 54.31,9.03 54.38,9.13 54.38,9.13 54.31,9.03 54.31))"
010515169100,9.2,54.22,9.29,54.29,"POLYGON((9.2 54.22,9.2 54.29,9.29 54.29,9.29 54.22,9.2 54.22))"
010515169102,9.06,54.28,9.13,54.35,"POLYGON((9.06 54.28,9.06 54.35,9.13 54.35,9.13 54.28,9.06 54.28))"
010515169114,9.17,54.18,9.35,54.26,"POLYGON((9.17 54.18,9.17 54.26,9.35 54.26,9.35 54.18,9.17 54.18))"
010515169117,9.33,54.24,9.41,54.3,"POLYGON((9.33 54.24,9.33 54.3,9.41 54.3,9.41 54.24,9.33 54.24))"
010515169120,9.24,54.26,9.29,54.3,"POLYGON((9.24 54.26,9.24 54.3,9.29 54.3,9.29 54.26,9.24 54.26))"
010515169125,9.19,54.18,9.3,54.23,"POLYGON((9.19 54.18,9.19 54.23,9.3 54.23,9.3 54.18,9.19 54.18))"
010515169131,9.21,54.2,9.28,54.24,"POLYGON((9.21 54.2,9.21 54.24,9.28 54.24,9.28 54.2,9.21 54.2))"
010515169133,9.08,54.25,9.16,54.29,"POLYGON((9.08 54.25,9.08 54.29,9.16 54.29,9.16 54.25,9.08 54.25))"
010515169136,9.35,54.19,9.45,54.24,"POLYGON((9.35 54.19,9.35 54.24,9.45 54.24,9.45 54.19,9.35 54.19))"
010515169139,9.28,54.18,9.45,54.25,"POLYGON((9.28 54.18,9.28 54.25,9.45 54.25,9.45 54.18,9.28 54.18))"
010515169141,9.11,54.21,9.18,54.28,"POLYGON((9.11 54.21,9.11 54.28,9.18 54.28,9.18 54.21,9.11 54.21))"
