rs,minx,miny,maxx,maxy,bbox_wkt
01001,9.3,54.7,9.6,54.9,"POLYGON((9.3 54.7,9.3 54.9,9.6 54.9,9.6 54.7,9.3 54.7))"
01002,9.9,54.2,10.3,54.5,"POLYGON((9.9 54.2,9.9 54.5,10.3 54.5,10.3 54.2,9.9 54.2))"
01003,10.5,53.7,11.1,54.1,"POLYGON((10.5 53.7,10.5 54.1,11.1 54.1,11.1 53.7,10.5 53.7))"
01004,9.8,53.9,10.2,54.2,"POLYGON((9.8 53.9,9.8 54.2,10.2 54.2,10.2 53.9,9.8 53.9))"
01051,8.6,53.8,9.5,54.5,"POLYGON((8.6 53.8,8.6 54.5,9.5 54.5,9.5 53.8,8.6 53.8))"
01053,10.1,53.3,11.1,53.9,"POLYGON((10.1 53.3,10.1 53.9,11.1 53.9,11.1 53.3,10.1 53.3))"
01054,8.2,54.2,9.4,55.2,"POLYGON((8.2 54.2,8.2 55.2,9.4 55.2,9.4 54.2,8.2 54.2))"
01055,10.3,53.8,11.4,54.6,"POLYGON((10.3 53.8,10.3 54.6,11.4 54.6,11.4 53.8,10.3 53.8))"
01056,7.8,53.5,10.1,54.3,"POLYGON((7.8 53.5,7.8 54.3,10.1 54.3,10.1 53.5,7.8 53.5))"
01057,9.9,54,10.8,54.5,"POLYGON((9.9 54,9.9 54.5,10.8 54.5,10.8 54,9.9 54))"
01058,9.2,53.9,10.3,54.7,"POLYGON((9.2 53.9,9.2 54.7,10.3 54.7,10.3 53.9,9.2 53.9))"
01059,9,54.2,10.1,55,"POLYGON((9 54.2,9 55,10.1 55,10.1 54.2,9 54.2))"
01060,9.7,53.5,10.7,54.2,"POLYGON((9.7 53.5,9.7 54.2,10.7 54.2,10.7 53.5,9.7 53.5))"
01061,9.1,53.6,10,54.2,"POLYGON((9.1 53.6,9.1 54.2,10 54.2,10 53.6,9.1 53.6))"
01062,9.9,53.4,10.7,54,"POLYGON((9.9 53.4,9.9 54,10.7 54,10.7 53.4,9.9 53.4))"
02000,8.3,53.3,10.4,54.1,"POLYGON((8.3 53.3,8.3 54.1,10.4 54.1,10.4 53.3,8.3 53.3))"
03101,10.3,52.1,10.7,52.5,"POLYGON((10.3 52.1,10.3 52.5,10.7 52.5,10.7 52.1,10.3 52.1))"
03102,10.1,51.9,10.6,52.3,"POLYGON((10.1 51.9,10.1 52.3,10.6 52.3,10.6 51.9,10.1 51.9))"
03103,10.5,52.2,11,52.6,"POLYGON((10.5 52.2,10.5 52.6,11 52.6,11 52.2,10.5 52.2))"
03151,10.2,52.2,11.1,52.9,"POLYGON((10.2 52.2,10.2 52.9,11.1 52.9,11.1 52.2,10.2 52.2))"
03152,9.4,51.2,10.5,51.7,"POLYGON((9.4 51.2,9.4 51.7,10.5 51.7,10.5 51.2,9.4 51.2))"
03153,10,51.5,10.8,52.2,"POLYGON((10 51.5,10 52.2,10.8 52.2,10.8 51.5,10 51.5))"
03154,10.5,51.9,11.2,52.6,"POLYGON((10.5 51.9,10.5 52.6,11.2 52.6,11.2 51.9,10.5 51.9))"
03155,9.3,51.5,10.3,52,"POLYGON((9.3 51.5,9.3 52,10.3 52,10.3 51.5,9.3 51.5))"
03156,10,51.5,10.8,51.9,"POLYGON((10 51.5,10 51.9,10.8 51.9,10.8 51.5,10 51.5))"
03157,9.9,52.1,10.6,52.5,"POLYGON((9.9 52.1,9.9 52.5,10.6 52.5,10.6 52.1,9.9 52.1))"
03158,10.1,51.9,11,52.4,"POLYGON((10.1 51.9,10.1 52.4,11 52.4,11 51.9,10.1 51.9))"
03241,9.1,52,10.4,52.8,"POLYGON((9.1 52,9.1 52.8,10.4 52.8,10.4 52,9.1 52))"
03251,8.2,52.3,9.2,53.2,"POLYGON((8.2 52.3,8.2 53.2,9.2 53.2,9.2 52.3,8.2 52.3))"
03252,9.1,51.8,9.8,52.4,"POLYGON((9.1 51.8,9.1 52.4,9.8 52.4,9.8 51.8,9.1 51.8))"
03254,9.5,51.8,10.4,52.4,"POLYGON((9.5 51.8,9.5 52.4,10.4 52.4,10.4 51.8,9.5 51.8))"
03255,9.2,51.5,10,52.1,"POLYGON((9.2 51.5,9.2 52.1,10 52.1,10 51.5,9.2 51.5))"
03256,8.6,52.3,9.6,53,"POLYGON((8.6 52.3,8.6 53,9.6 53,9.6 52.3,8.6 52.3))"
03257,8.9,52,9.5,52.6,"POLYGON((8.9 52,8.9 52.6,9.5 52.6,9.5 52,8.9 52))"
03351,9.6,52.4,10.5,53,"POLYGON((9.6 52.4,9.6 53,10.5 53,10.5 52.4,9.6 52.4))"
03352,8.4,53.2,9.4,54,"POLYGON((8.4 53.2,8.4 54,9.4 54,9.4 53.2,8.4 53.2))"
03353,9.5,53,10.6,53.6,"POLYGON((9.5 53,9.5 53.6,10.6 53.6,10.6 53,9.5 53))"
03354,10.7,52.7,11.7,53.4,"POLYGON((10.7 52.7,10.7 53.4,11.7 53.4,11.7 52.7,10.7 52.7))"
03355,9.9,52.9,11.3,53.5,"POLYGON((9.9 52.9,9.9 53.5,11.3 53.5,11.3 52.9,9.9 52.9))"
03356,8.4,53,9.2,53.5,"POLYGON((8.4 53,8.4 53.5,9.2 53.5,9.2 53,8.4 53))"
03357,8.8,52.8,9.9,53.7,"POLYGON((8.8 52.8,8.8 53.7,9.9 53.7,9.9 52.8,8.8 52.8))"
03358,9.2,52.5,10.3,53.3,"POLYGON((9.2 52.5,9.2 53.3,10.3 53.3,10.3 52.5,9.2 52.5))"
03359,8.9,53.2,9.9,54,"POLYGON((8.9 53.2,8.9 54,9.9 54,9.9 53.2,8.9 53.2))"
03360,10,52.7,11,53.3,"POLYGON((10 52.7,10 53.3,11 53.3,11 52.7,10 52.7))"
03361,8.8,52.7,9.6,53.3,"POLYGON((8.8 52.7,8.8 53.3,9.6 53.3,9.6 52.7,8.8 52.7))"
03401,8.5,52.9,8.8,53.2,"POLYGON((8.5 52.9,8.5 53.2,8.8 53.2,8.8 52.9,8.5 52.9))"
03402,6.9,53.2,7.4,53.5,"POLYGON((6.9 53.2,6.9 53.5,7.4 53.5,7.4 53.2,6.9 53.2))"
03403,8,53,8.4,53.3,"POLYGON((8 53,8 53.3,8.4 53.3,8.4 53,8 53))"
03404,7.8,52.1,8.3,52.4,"POLYGON((7.8 52.1,7.8 52.4,8.3 52.4,8.3 52.1,7.8 52.1))"
03405,7.9,53.4,8.3,53.7,"POLYGON((7.9 53.4,7.9 53.7,8.3 53.7,8.3 53.4,7.9 53.4))"
03451,7.6,53,8.4,53.5,"POLYGON((7.6 53,7.6 53.5,8.4 53.5,8.4 53,7.6 53))"
03452,6.8,53.2,7.9,53.8,"POLYGON((6.8 53.2,6.8 53.8,7.9 53.8,7.9 53.2,6.8 53.2))"
03453,7.5,52.6,8.4,53.3,"POLYGON((7.5 52.6,7.5 53.3,8.4 53.3,8.4 52.6,7.5 52.6))"
03454,6.9,52.2,7.9,53.2,"POLYGON((6.9 52.2,6.9 53.2,7.9 53.2,7.9 52.2,6.9 52.2))"
03455,7.7,53.2,8.3,53.9,"POLYGON((7.7 53.2,7.7 53.9,8.3 53.9,8.3 53.2,7.7 53.2))"
03456,6.6,52.1,7.4,52.8,"POLYGON((6.6 52.1,6.6 52.8,7.4 52.8,7.4 52.1,6.6 52.1))"
03457,6.6,52.9,8,53.7,"POLYGON((6.6 52.9,6.6 53.7,8 53.7,8 52.9,6.6 52.9))"
03458,8,52.7,8.8,53.3,"POLYGON((8 52.7,8 53.3,8.8 53.3,8.8 52.7,8 52.7))"
03459,7.5,51.9,8.6,52.8,"POLYGON((7.5 51.9,7.5 52.8,8.6 52.8,8.6 51.9,7.5 51.9))"
03460,7.9,52.3,8.6,53,"POLYGON((7.9 52.3,7.9 53,8.6 53,8.6 52.3,7.9 52.3))"
03461,8,53,8.8,53.8,"POLYGON((8 53,8 53.8,8.8 53.8,8.8 53,8 53))"
03462,7.3,53.3,8.1,53.9,"POLYGON((7.3 53.3,7.3 53.9,8.1 53.9,8.1 53.3,7.3 53.3))"
04011,8.4,52.9,9.1,53.7,"POLYGON((8.4 52.9,8.4 53.7,9.1 53.7,9.1 52.9,8.4 52.9))"
04012,8.4,53.4,8.8,53.7,"POLYGON((8.4 53.4,8.4 53.7,8.8 53.7,8.8 53.4,8.4 53.4))"
05111,6.6,51,7,51.5,"POLYGON((6.6 51,6.6 51.5,7 51.5,7 51,6.6 51))"
05112,6.5,51.2,6.9,51.7,"POLYGON((6.5 51.2,6.5 51.7,6.9 51.7,6.9 51.2,6.5 51.2))"
05113,6.8,51.2,7.2,51.6,"POLYGON((6.8 51.2,6.8 51.6,7.2 51.6,7.2 51.2,6.8 51.2))"
05114,6.4,51.2,6.8,51.5,"POLYGON((6.4 51.2,6.4 51.5,6.8 51.5,6.8 51.2,6.4 51.2))"
